	Allgemeine Kapitel	Spezifische Kapitel
08048872.pdf	5192	8486
08048873.pdf	2378	18425
08048914.pdf	4450	10606
08048915.pdf	3847	11791
08048916.pdf	3303	11673
08048917.pdf	6051	20154
08048918.pdf	4748	10472
08048919.pdf	4270	4791
08048920.pdf	4256	3999
08048921.pdf	3807	12905
08048922.pdf	4063	13696
08048923.pdf	1536	12227
08048924.pdf	7208	14658
08048925.pdf	4926	11248
08048926.pdf	1180	5842
08048928.pdf	4951	12816
08048929.pdf	3582	16670
08048930.pdf	0	0
08048931.pdf	3799	12201
08048937.pdf	3528	13021
08449785.pdf	2072	6792
08713073.pdf	1984	1419
08792968.pdf	3234	8386
08792972.pdf	2603	13461
08792973.pdf	5593	5327
08792979.pdf	3526	23636
08792981.pdf	4616	9601
08792983.pdf	3827	9011
08792996.pdf	1117	6613
08792997.pdf	5219	7006
08793006.pdf	4332	6267
08793008.pdf	2621	15899
08793010.pdf	3831	7120
08793011.pdf	2714	5879
08793029.pdf	2618	6918
08793031.pdf	2185	6370
08793044.pdf	2598	21784
08793045.pdf	4814	7366
08793049.pdf	2718	8482
08793051.pdf	2916	4571
